,subId,rt,imgName,isRepeat,rating,trial_index,debug_mode
75,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2036,/static/images/2kfaces/Google_1_Douglas Tanguay_9_oval.jpg,1,5,90,live
76,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2182,/static/images/2kfaces/Google_1_Claudia Rohrer_13_oval.jpg,1,2,91,live
77,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3784,/static/images/2kfaces/Google_1_Louis Mceachern_7_oval.jpg,1,4,92,live
78,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,1913,/static/images/2kfaces/Google_1_Paul Reno_1_oval.jpg,1,4,93,live
79,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2566,/static/images/2kfaces/Google_1_Ryan Marvel_15_oval.jpg,1,8,94,live
80,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3020,/static/images/2kfaces/Google_1_Vera Becker_5_oval.jpg,1,4,96,live
81,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2622,/static/images/2kfaces/Google_1_Ernest Crump_3_oval.jpg,1,6,97,live
82,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3367,/static/images/2kfaces/Google_1_Marjorie Rule_3_oval.jpg,1,5,98,live
83,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2437,/static/images/2kfaces/Google_1_Eric Osuna_3_oval.jpg,1,5,99,live
84,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3046,/static/images/2kfaces/Alice_Mckellar_11_oval.jpg,1,7,100,live
85,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2150,/static/images/2kfaces/Google_1_Shelley Lund_5_oval.jpg,1,5,101,live
86,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,4566,/static/images/2kfaces/Google_1_Norman Westfall_5_oval.jpg,1,4,102,live
