,subId,rt,im1,im2,response,low_first,repeat,task_type,correct
46,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,177,/static/images/modifae_pairwise/trustworthy/136237_0.0.png,/static/images/modifae_pairwise/trustworthy/136237_-0.5.png,left,0,0,gt,True
47,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,23,/static/images/modifae_pairwise/trustworthy/136201_-0.5.png,/static/images/modifae_pairwise/trustworthy/136201_0.0.png,right,1,0,modifae,True
48,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,183,/static/images/modifae_pairwise/trustworthy/136239_0.0.png,/static/images/modifae_pairwise/trustworthy/136239_-0.5.png,right,0,0,modifae,False
49,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,12,/static/images/modifae_pairwise/trustworthy/136184_0.0.png,/static/images/modifae_pairwise/trustworthy/136184_-0.5.png,left,0,0,modifae,True
50,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,181,/static/images/modifae_pairwise/trustworthy/136236_-0.5.png,/static/images/modifae_pairwise/trustworthy/136236_0.0.png,right,1,0,modifae,True
51,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,9,/static/images/modifae_pairwise/trustworthy/136232_-0.5.png,/static/images/modifae_pairwise/trustworthy/136232_0.0.png,left,1,0,modifae,False
52,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,189,/static/images/gt_pairwise/trustworthy-mid-5.png,/static/images/gt_pairwise/trustworthy-low-5.png,right,0,0,modifae,False
53,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,197,/static/images/modifae_pairwise/trustworthy/136263_-0.5.png,/static/images/modifae_pairwise/trustworthy/136263_0.0.png,left,1,0,modifae,False
54,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,178,/static/images/modifae_pairwise/trustworthy/136185_-0.5.png,/static/images/modifae_pairwise/trustworthy/136185_0.0.png,right,1,1,modifae,True
55,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,86,/static/images/modifae_pairwise/trustworthy/136255_0.0.png,/static/images/modifae_pairwise/trustworthy/136255_-0.5.png,left,0,0,gt,True
56,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,105,/static/images/modifae_pairwise/trustworthy/136182_0.0.png,/static/images/modifae_pairwise/trustworthy/136182_-0.5.png,right,0,0,modifae,False
57,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,97,/static/images/modifae_pairwise/trustworthy/136200_0.0.png,/static/images/modifae_pairwise/trustworthy/136200_-0.5.png,left,0,0,modifae,True
58,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,118,/static/images/modifae_pairwise/trustworthy/136221_0.0.png,/static/images/modifae_pairwise/trustworthy/136221_-0.5.png,right,0,1,modifae,False
59,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,132,/static/images/modifae_pairwise/trustworthy/136220_0.0.png,/static/images/modifae_pairwise/trustworthy/136220_-0.5.png,left,0,0,gt,True
60,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,66,/static/images/modifae_pairwise/trustworthy/136197_-0.5.png,/static/images/modifae_pairwise/trustworthy/136197_0.0.png,right,1,0,modifae,True
61,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,171,/static/images/modifae_pairwise/trustworthy/136266_-0.5.png,/static/images/modifae_pairwise/trustworthy/136266_0.0.png,left,1,0,modifae,False
62,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,22,/static/images/modifae_pairwise/trustworthy/136270_-0.5.png,/static/images/modifae_pairwise/trustworthy/136270_0.0.png,right,1,0,modifae,True
63,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,190,/static/images/modifae_pairwise/trustworthy/136259_0.0.png,/static/images/modifae_pairwise/trustworthy/136259_-0.5.png,right,0,0,modifae,False
64,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,17,/static/images/gt_pairwise/trustworthy-mid-9.png,/static/images/gt_pairwise/trustworthy-low-9.png,left,0,0,modifae,True
65,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,170,/static/images/modifae_pairwise/trustworthy/136188_-0.5.png,/static/images/modifae_pairwise/trustworthy/136188_0.0.png,right,1,0,modifae,True
